time_ms,I,II,V1,V2,V3,V4,V5,V6
0.0,-0.049723115645746184,-0.01686029063339508,-0.011935202605742188,-0.09646588867862574,-0.09581540236513744,-0.0838059299272661,-0.07243180237422613,-0.056985567437862567
1.0,-0.05170730018292378,-0.019283346881178276,-0.011384627228952126,-0.09959438353016062,-0.09911648808238235,-0.08781946949942344,-0.07657311818608992,-0.06115287054468819
2.0,-0.05446305393526375,-0.02180617180533785,-0.009926735882723435,-0.10169981734289531,-0.10129599463515523,-0.09087621796557178,-0.07972018002735773,-0.06471876797598702
3.0,-0.05677551021374145,-0.02421269244265649,-0.008592791495063262,-0.10339311201925461,-0.10316550512105621,-0.09353202707485542,-0.0823845081753509,-0.06799056633925625
4.0,-0.057978857997619676,-0.02660829002600073,-0.007979697081662357,-0.10503791504613551,-0.10524861103043798,-0.09605010334405371,-0.084852881854619,-0.07104589125491015
5.0,-0.05835145708598708,-0.02935828391458798,-0.007866625301595213,-0.10648643869817886,-0.10737969376963846,-0.0981219236630039,-0.08692301177004083,-0.07354590704324665
6.0,-0.05879807345002194,-0.032829866075022474,-0.007490935097960425,-0.10727752364817492,-0.10892205082210543,-0.09917350577776866,-0.08815425287193615,-0.07500561683304999
7.0,-0.06009097090595888,-0.03710460617638231,-0.0062399112582734485,-0.10709733033438065,-0.1093757859192925,-0.09896674630368966,-0.0883450395848297,-0.07527102361552529
8.0,-0.0622600145389733,-0.04184205120849536,-0.004188934773561796,-0.10613041074473134,-0.10886663385581594,-0.09796575369877354,-0.08781128311651211,-0.07476422591260846
9.0,-0.06459598818035275,-0.04642531441843514,-0.002043512713876222,-0.10500938592283818,-0.1081195171809606,-0.09712885550893118,-0.08725057465675037,-0.07426140217428256
10.0,-0.0662567975636393,-0.05035806731624505,-0.0005432750215847533,-0.10437036159077577,-0.1079248258380004,-0.09725993991816613,-0.08729956748047259,-0.07437108776470885
11.0,-0.06700097432201411,-0.053647297674825345,0.00015707999966566976,-0.10435908117572024,-0.10852315894929399,-0.09843236801845347,-0.08810243225248343,-0.07513369017481357
12.0,-0.06744016271671534,-0.0568099598892296,0.0005870978704359334,-0.10452538245540947,-0.10943146911821502,-0.09996620165033802,-0.08920891933147576,-0.07606546738978207
13.0,-0.06853857133956168,-0.06038336990837269,0.0014338558719187728,-0.10424747975620839,-0.10988553009524962,-0.1010020866415326,-0.08991097848109848,-0.07660859456440411
14.0,-0.0707180515879121,-0.06428331130113858,0.002841639209799348,-0.1033536916002247,-0.10954278652983324,-0.10121466303264684,-0.08980295772321437,-0.07661630335683654
15.0,-0.07334133334741667,-0.0675990733484881,0.004186371723931921,-0.1023828933900454,-0.10883751025255173,-0.10106763100544915,-0.08913489616511339,-0.07647367832777303
16.0,-0.07509330493572743,-0.06911501376791894,0.004575370087581607,-0.10219783663719052,-0.10865851330738757,-0.10138881787743001,-0.08865311794878261,-0.07676555067648963
17.0,-0.07499819752860085,-0.06820873475600009,0.0036437753669629133,-0.10324448038596194,-0.1096103211461483,-0.10263944801405656,-0.08904419895960317,-0.0777896902994401
18.0,-0.07320542226570374,-0.06538447631868208,0.0019200942981338117,-0.10510709749775558,-0.1114889546886716,-0.10452244342168773,-0.09043297855037173,-0.07932886027755683
19.0,-0.07085708423829411,-0.06196271562132086,0.0004434879561759364,-0.10677043184663504,-0.11341417894566375,-0.10625257712265261,-0.09231399444730663,-0.0808481606835567
20.0,-0.06916892819287247,-0.05916978715305056,-1.9153883781992953e-08,-0.1073744983405189,-0.11450333615060829,-0.10721364171179887,-0.09393636988100841,-0.08192706012028078
21.0,-0.06853521587236575,-0.05739720485484502,0.0006083607834174139,-0.10683128767403936,-0.11453780905570751,-0.10742299444010188,-0.09484938977133332,-0.08257504620888813
22.0,-0.06839910909820418,-0.05623070610210559,0.0015886480481697544,-0.10582274652554723,-0.11409100898896285,-0.1074416518533881,-0.09521672046126448,-0.08319284582798554
23.0,-0.06793418259936106,-0.055146684530583454,0.0020952449774015933,-0.10522206105454832,-0.11402541565961866,-0.10785470092655279,-0.0956462106800334,-0.08420860670212747
24.0,-0.0669016113177213,-0.05420160421669866,0.0017289353994609097,-0.10541232669001893,-0.11478062387862314,-0.10878219227131082,-0.09663845506597568,-0.08567026893693386
25.0,-0.06593794185644031,-0.05410548945723086,0.000812351718745114,-0.10601536142069069,-0.11603079689883694,-0.10981229419355484,-0.0981074761882069,-0.08713444907226102
26.0,-0.06604451211367966,-0.055651485710978166,0.00012960544108653587,-0.10620862332917509,-0.11695617459110103,-0.11036144511003103,-0.09940685135177724,-0.0879679157532925
27.0,-0.06774679637735814,-0.05901239411407204,0.0003284876778835554,-0.10536691490715687,-0.11687515156798672,-0.11012342176077217,-0.09985209665762301,-0.08782652089339794
28.0,-0.07066744341492569,-0.0634929469313967,0.001458890116757157,-0.10354344372485008,-0.11574532402713045,-0.10926440451153407,-0.09928638843475536,-0.08691996829710914
29.0,-0.07385844432311006,-0.0679431140395681,0.0029922644687428116,-0.10144641561793154,-0.11418105970106623,-0.10828072240314715,-0.09821854888647276,-0.08585794212373168
30.0,-0.07655010522090415,-0.0715064656236867,0.004265300128584686,-0.09993717975029241,-0.11298936837421361,-0.10766766236943913,-0.0974416164772741,-0.08521630275875969
31.0,-0.07865642567798092,-0.07411087222181094,0.004994707607295638,-0.09941080669287145,-0.11256789096503522,-0.10761024258645589,-0.0974489976475685,-0.0851604460212754
32.0,-0.08066218847908005,-0.0763278115701112,0.005496028372129359,-0.0995173903573245,-0.11262446533575651,-0.10787070402436645,-0.09809664336483848,-0.08539524166777936
33.0,-0.08304230196058482,-0.07874075703863768,0.006436493686273888,-0.09945891822683285,-0.11245067870393183,-0.1079608371837098,-0.09876015798513609,-0.08546112643914096
34.0,-0.085682162234508,-0.08133005403902939,0.008261217814702817,-0.09865066394519462,-0.1115417832718544,-0.10751644969446116,-0.09885810981445255,-0.08513398460563205
35.0,-0.08775709473163748,-0.08333682536924356,0.010720745170140189,-0.09720456147661935,-0.11004725958896303,-0.10660583360940498,-0.09832131625217452,-0.08460638183641017
36.0,-0.08824059574284225,-0.08371931875294376,0.012936621475417144,-0.09581857660333203,-0.10865798715992972,-0.10570434803973962,-0.09762477125203357,-0.08431773001696136
37.0,-0.08672934641532841,-0.08191653075120656,0.014028136267620952,-0.09518064951519184,-0.1080360732647524,-0.10533092515849264,-0.09737336404748864,-0.08459560517649516
38.0,-0.08391042432061616,-0.07838091597435506,0.013799334165007284,-0.09542646999990104,-0.10831419519701355,-0.10564764503070952,-0.09782416197204244,-0.08540033225213851
39.0,-0.0811832266649495,-0.07442497780942028,0.012889121791564673,-0.09610649455848956,-0.10909414079170413,-0.10635718645045808,-0.0987558120163171,-0.08635626400344351
40.0,-0.07965471580298396,-0.07142289741583853,0.012248660990686321,-0.0966293569868399,-0.1098712519457237,-0.1069633622466042,-0.09974276380932372,-0.08703834241862744
41.0,-0.07932701592571309,-0.06997862767175486,0.012389253494634543,-0.09675045490379038,-0.11044633212787586,-0.10716244470147654,-0.10053346412159404,-0.08730127403162112
42.0,-0.07920533543369283,-0.06974510167830145,0.01302550006756341,-0.09669941587423028,-0.11098240741540752,-0.1070555607189761,-0.10120018582639617,-0.08738606453233481
